league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,season_start,stat_type
ENG-Premier League,2018/19,Arsenal,Bernd Leno,GER,GK,26,1992,32,31,2835,31.5,42,1.33,147,105,71.4,16,7,8,7,22.6,7,7,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Arsenal,Petr Čech,CZE,GK,36,1982,7,7,585,6.5,9,1.38,36,27,75.0,5,0,2,2,28.6,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Bournemouth,Artur Boruc,POL,GK,38,1980,12,12,1080,12.0,18,1.5,57,39,68.4,4,3,5,4,33.3,3,3,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Bournemouth,Asmir Begović,BIH,GK,31,1987,24,24,2160,24.0,47,1.96,106,59,55.7,8,3,13,5,20.8,2,2,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Bournemouth,Mark Travers,IRL,GK,19,1999,2,2,180,2.0,5,2.5,14,9,64.3,1,0,1,1,50.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Brighton,David Button,ENG,GK,29,1989,4,4,360,4.0,5,1.25,19,14,73.7,1,1,2,1,25.0,2,2,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Brighton,Mathew Ryan,AUS,GK,26,1992,34,34,3060,34.0,55,1.62,152,97,63.8,8,8,18,6,17.6,8,8,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Burnley,Joe Hart,ENG,GK,31,1987,19,19,1710,19.0,41,2.16,117,76,65.0,3,3,13,4,21.1,2,1,1,0,50.0,2018,keeper
ENG-Premier League,2018/19,Burnley,Tom Heaton,ENG,GK,32,1986,19,19,1710,19.0,27,1.42,90,63,70.0,8,4,7,4,21.1,1,1,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38,38,3420,38.0,69,1.82,206,137,66.5,10,4,24,10,26.3,7,4,3,0,42.9,2018,keeper
ENG-Premier League,2018/19,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36,36,3240,36.0,39,1.08,120,81,67.5,20,8,8,14,38.9,2,1,1,0,50.0,2018,keeper
ENG-Premier League,2018/19,Chelsea,Willy Caballero,ARG,GK,36,1981,2,2,180,2.0,0,0.0,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1,1,90,1.0,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Crystal Palace,Vicente Guaita,ESP,GK,31,1987,20,20,1755,19.5,23,1.18,87,64,73.6,10,4,6,7,35.0,1,1,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Crystal Palace,Wayne Hennessey,WAL,GK,31,1987,18,17,1575,17.5,26,1.49,69,43,62.3,4,3,10,5,29.4,4,3,1,0,25.0,2018,keeper
ENG-Premier League,2018/19,Everton,Jordan Pickford,ENG,GK,24,1994,38,38,3420,38.0,46,1.21,136,90,66.2,15,9,14,14,36.8,5,2,3,0,60.0,2018,keeper
ENG-Premier League,2018/19,Fulham,Fabricio,ESP,GK,30,1987,2,2,180,2.0,5,2.5,20,15,75.0,0,0,2,0,0.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Fulham,Marcus Bettinelli,ENG,GK,26,1992,7,7,630,7.0,20,2.86,39,19,48.7,1,2,4,0,0.0,3,1,1,1,50.0,2018,keeper
ENG-Premier League,2018/19,Fulham,Sergio Rico,ESP,GK,24,1993,29,29,2610,29.0,56,1.93,167,111,66.5,6,3,20,5,17.2,4,4,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Huddersfield,Ben Hamer,ENG,GK,30,1987,7,7,553,6.1,21,3.42,45,24,53.3,0,1,6,1,14.3,3,3,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Huddersfield,Joel Coleman,ENG,GK,22,1995,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Huddersfield,Jonas Lössl,DEN,GK,29,1989,31,30,2777,30.9,54,1.75,141,87,61.7,3,5,22,5,16.7,5,4,1,0,20.0,2018,keeper
ENG-Premier League,2018/19,Leicester City,Kasper Schmeichel,DEN,GK,31,1986,38,38,3420,38.0,48,1.26,138,90,65.2,15,7,16,10,26.3,5,5,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Liverpool,Alisson,BRA,GK,25,1992,38,38,3420,38.0,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,,2018,keeper
ENG-Premier League,2018/19,Manchester City,Ederson Moraes,BRA,GK,24,1993,38,38,3420,38.0,23,0.61,81,58,71.6,32,2,4,20,52.6,4,4,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Manchester Utd,David de Gea,ESP,GK,27,1990,38,38,3420,38.0,54,1.42,177,123,69.5,19,9,10,7,18.4,6,6,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Newcastle,Martin Dúbravka,SVK,GK,29,1989,38,38,3420,38.0,48,1.26,144,96,66.7,12,9,17,11,28.9,6,6,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Southampton,Alex McCarthy,ENG,GK,28,1989,25,25,2250,25.0,44,1.76,122,78,63.9,5,8,12,4,16.0,2,2,0,0,0.0,2018,keeper
ENG-Premier League,2018/19,Southampton,Angus Gunn,SCO,GK,22,1996,12,12,1080,12.0,18,1.5,50,32,64.0,4,4,4,3,25.0,1,0,1,0,100.0,2018,keeper
ENG-Premier League,2018/19,Southampton,Fraser Forster,ENG,GK,30,1988,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Tottenham,Hugo Lloris,FRA,GK,31,1986,33,33,2970,33.0,33,1.0,131,98,74.8,21,2,10,12,36.4,5,3,2,0,40.0,2018,keeper
ENG-Premier League,2018/19,Tottenham,Michel Vorm,NED,GK,34,1983,2,2,180,2.0,4,2.0,13,9,69.2,0,0,2,0,0.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Tottenham,Paulo Gazzaniga,ARG,GK,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Watford,Ben Foster,ENG,GK,35,1983,38,38,3420,38.0,59,1.55,185,126,68.1,14,8,16,7,18.4,5,4,1,0,20.0,2018,keeper
ENG-Premier League,2018/19,West Ham,Łukasz Fabiański,POL,GK,33,1985,38,38,3420,38.0,55,1.45,201,146,72.6,15,7,16,7,18.4,5,4,1,0,20.0,2018,keeper
ENG-Premier League,2018/19,Wolves,John Ruddy,ENG,GK,31,1986,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,2018,keeper
ENG-Premier League,2018/19,Wolves,Rui Patrício,POR,GK,30,1988,37,37,3330,37.0,46,1.24,143,97,67.8,15,9,13,8,21.6,4,3,0,1,0.0,2018,keeper
ENG-Premier League,2018/19,Wolves,Will Norris,ENG,GK,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,2018,keeper
